iter	Passed	Remaining
400	23698	5850
401	23720	5782
402	23743	5715
403	23766	5647
404	23788	5580
405	23809	5512
406	23829	5445
407	23849	5377
408	23871	5311
409	23893	5244
410	23914	5178
411	23934	5112
412	23955	5046
413	23978	4981
414	23998	4915
415	24020	4850
416	24041	4785
417	24062	4720
418	24083	4655
419	24106	4591
420	24128	4527
421	24150	4463
422	24171	4399
423	24193	4336
424	24214	4273
425	24237	4210
426	24259	4147
427	24280	4084
428	24302	4022
429	24322	3959
430	24345	3897
431	24367	3835
432	24389	3773
433	24411	3712
434	24434	3651
435	24454	3589
436	24474	3528
437	24496	3467
438	24520	3407
439	24542	3346
440	24564	3286
441	24586	3226
442	24609	3166
443	24632	3106
444	24655	3047
445	24677	2987
446	24699	2928
447	24721	2869
448	24742	2810
449	24763	2751
450	24786	2693
451	24810	2634
452	24833	2576
453	24855	2518
454	24876	2460
455	24898	2402
456	24921	2344
457	24944	2287
458	24965	2230
459	24987	2172
460	25009	2115
461	25030	2058
462	25051	2001
463	25073	1945
464	25095	1888
465	25116	1832
466	25141	1776
467	25161	1720
468	25182	1664
469	25202	1608
470	25223	1553
471	25246	1497
472	25268	1442
473	25289	1387
474	25312	1332
475	25334	1277
476	25355	1222
477	25377	1168
478	25399	1113
479	25421	1059
480	25443	1005
481	25466	951
482	25489	897
483	25510	843
484	25532	789
485	25554	736
486	25575	682
487	25599	629
488	25623	576
489	25644	523
490	25663	470
491	25687	417
492	25709	365
493	25730	312
494	25752	260
495	25774	207
496	25796	155
497	25819	103
498	25843	51
499	25864	0
