season,round,race_id,lap_number,driver_id,position,lap_time
2025,1,2025_1,7,stroll,11,2:04.687
2025,1,2025_1,7,hulkenberg,12,2:04.116
2025,1,2025_1,7,antonelli,13,2:03.412
2025,1,2025_1,7,bortoleto,14,2:03.467
2025,1,2025_1,7,ocon,15,2:03.018
2025,1,2025_1,7,lawson,16,2:02.216
2025,1,2025_1,7,bearman,17,2:02.192
2025,1,2025_1,8,norris,1,1:36.278
2025,1,2025_1,8,max_verstappen,2,1:36.830
2025,1,2025_1,8,piastri,3,1:37.251
2025,1,2025_1,8,russell,4,1:37.824
2025,1,2025_1,8,leclerc,5,1:38.190
2025,1,2025_1,8,tsunoda,6,1:38.464
2025,1,2025_1,8,albon,7,1:38.281
2025,1,2025_1,8,hamilton,8,1:38.311
2025,1,2025_1,8,gasly,9,1:38.441
2025,1,2025_1,8,alonso,10,1:38.354
2025,1,2025_1,8,stroll,11,1:38.664
2025,1,2025_1,8,hulkenberg,12,1:38.959
2025,1,2025_1,8,antonelli,13,1:38.729
2025,1,2025_1,8,bortoleto,14,1:40.265
2025,1,2025_1,8,ocon,15,1:40.522
2025,1,2025_1,8,lawson,16,1:40.582
2025,1,2025_1,8,bearman,17,1:42.054
2025,1,2025_1,9,norris,1,1:34.638
2025,1,2025_1,9,max_verstappen,2,1:34.315
2025,1,2025_1,9,piastri,3,1:34.578
2025,1,2025_1,9,russell,4,1:34.873
2025,1,2025_1,9,leclerc,5,1:34.933
2025,1,2025_1,9,tsunoda,6,1:35.409
2025,1,2025_1,9,albon,7,1:36.300
2025,1,2025_1,9,hamilton,8,1:36.242
2025,1,2025_1,9,gasly,9,1:36.062
2025,1,2025_1,9,alonso,10,1:36.267
2025,1,2025_1,9,stroll,11,1:36.253
2025,1,2025_1,9,hulkenberg,12,1:36.510
2025,1,2025_1,9,antonelli,13,1:36.312
2025,1,2025_1,9,bortoleto,14,1:36.663
2025,1,2025_1,9,ocon,15,1:38.049
2025,1,2025_1,9,lawson,16,1:38.439
