iter	Passed	Remaining
404	7043	1652
405	7054	1633
406	7065	1614
407	7077	1595
408	7088	1577
409	7097	1558
410	7109	1539
411	7119	1520
412	7131	1502
413	7141	1483
414	7153	1465
415	7163	1446
416	7174	1427
417	7185	1409
418	7197	1391
419	7208	1373
420	7219	1354
421	7230	1336
422	7240	1318
423	7251	1299
424	7263	1281
425	7275	1263
426	7287	1245
427	7300	1228
428	7312	1210
429	7323	1192
430	7333	1174
431	7345	1156
432	7357	1138
433	7369	1120
434	7381	1102
435	7391	1085
436	7402	1067
437	7413	1049
438	7424	1031
439	7435	1013
440	7446	996
441	7457	978
442	7468	961
443	7479	943
444	7490	925
445	7500	908
446	7511	890
447	7522	873
448	7533	855
449	7544	838
450	7555	820
451	7565	803
452	7576	786
453	7588	768
454	7598	751
455	7608	734
456	7618	716
457	7630	699
458	7642	682
459	7653	665
460	7665	648
461	7677	631
462	7689	614
463	7699	597
464	7711	580
465	7722	563
466	7734	546
467	7746	529
468	7756	512
469	7767	495
470	7778	478
471	7789	462
472	7801	445
473	7812	428
474	7823	411
475	7834	395
476	7845	378
477	7856	361
478	7868	344
479	7878	328
480	7889	311
481	7901	295
482	7914	278
483	7926	262
484	7937	245
485	7949	228
486	7961	212
487	7973	196
488	7985	179
489	7997	163
490	8009	146
491	8021	130
492	8032	114
493	8044	97
494	8056	81
495	8068	65
496	8079	48
497	8089	32
498	8101	16
499	8113	0
