iter	Logloss
0	0.6873357939
1	0.6825482981
2	0.6774297336
3	0.6731083324
4	0.6688093424
5	0.6646349504
6	0.6612763803
7	0.6574411001
8	0.6535513949
9	0.6488978335
10	0.6447349583
11	0.6400568157
12	0.6361835259
13	0.6333097531
14	0.6308660765
15	0.6275019088
16	0.6245376219
17	0.6217295532
18	0.6187005975
19	0.6162251353
20	0.6144923704
21	0.6097818757
22	0.6074834705
23	0.6048028102
24	0.6026646373
25	0.5985624776
26	0.5947363241
27	0.5923192779
28	0.590254107
29	0.5880380705
30	0.5848298107
31	0.5826700723
32	0.5803196006
33	0.5779271162
34	0.5765074847
35	0.5747544356
36	0.5727149088
37	0.5703352238
38	0.5679537362
39	0.565657574
40	0.5644462473
41	0.561603887
42	0.558743527
43	0.5553539497
44	0.5532807565
45	0.5510789717
46	0.5485551319
47	0.5470619905
48	0.5462118707
49	0.5443921215
50	0.5428966142
51	0.5411026422
52	0.5400962093
53	0.5374767326
54	0.5368117684
55	0.5345506592
56	0.5322954388
57	0.5307558801
58	0.5302779028
59	0.5282021973
60	0.526992817
61	0.5234708261
62	0.5220464411
63	0.5201390263
64	0.519581798
65	0.5183495127
66	0.5175875541
67	0.5168270753
68	0.5151771025
69	0.5143192487
70	0.513780054
71	0.5126486435
72	0.5110066355
73	0.5090978371
74	0.5082420541
75	0.506726241
76	0.5052933392
77	0.5039974541
78	0.5024917406
79	0.5006898515
80	0.4998606372
81	0.4977259385
82	0.4965228044
83	0.4953579851
84	0.4935916289
85	0.4921865305
86	0.4913591129
87	0.4900072885
88	0.4878089255
89	0.4870291404
90	0.4862719008
91	0.4852548879
92	0.4844762513
93	0.483315829
94	0.4823212768
95	0.4808434498
96	0.480169573
97	0.4793377685
98	0.47800108
99	0.4762117738
100	0.4748168761
101	0.4739697117
102	0.4730049141
103	0.4724571331
104	0.4718966559
105	0.4705788421
106	0.4696580681
107	0.4687727586
108	0.4679389293
109	0.4666506671
110	0.4656963244
111	0.4652348985
112	0.463590048
113	0.4622032286
114	0.4608082475
115	0.4595601206
116	0.4580315839
117	0.45720009
118	0.456985119
119	0.4557152155
120	0.4546434417
121	0.4534903234
122	0.4528124527
123	0.4520215463
124	0.4511928852
125	0.4503079958
126	0.4490417507
127	0.4472703568
128	0.4468848615
129	0.4458215602
130	0.4452590497
131	0.444010102
132	0.4436793274
133	0.4433056319
134	0.4423219712
135	0.4413334025
136	0.4405547167
137	0.439667274
138	0.4381629571
139	0.4376086405
140	0.4357488444
141	0.4344050975
142	0.4337107578
143	0.4330354439
144	0.4325050302
145	0.4310808436
146	0.4304513194
147	0.4293130205
148	0.4287949955
149	0.4284840946
150	0.427444815
151	0.4269158502
152	0.4252352286
153	0.4243353638
154	0.4224529208
155	0.4213917723
156	0.4204026179
157	0.4201203699
158	0.4191552401
159	0.4185771991
160	0.4179751297
161	0.4177522461
162	0.4170217409
163	0.4162388297
164	0.415153379
165	0.4142001651
166	0.4130621317
167	0.4126480672
168	0.4118493437
169	0.4108075165
170	0.4096880331
171	0.4084211861
172	0.4078846811
173	0.4073104306
174	0.4067965255
175	0.4062327672
176	0.4052912598
177	0.4047727596
178	0.4037835671
179	0.4024954875
180	0.4003467901
181	0.3988954839
182	0.3983014299
183	0.3978340996
184	0.3970299797
185	0.3962276715
186	0.3953120199
187	0.3944984765
188	0.3939369172
189	0.3926343141
190	0.3918144197
191	0.3909543989
192	0.3893944039
193	0.3886579602
194	0.3873267422
195	0.3858306124
196	0.3851638548
197	0.384415453
198	0.3837010497
199	0.3822005358
200	0.3815045202
201	0.3808597828
202	0.3792791065
203	0.3788896897
204	0.3776931368
205	0.3771326864
206	0.3766503327
207	0.3756753517
208	0.374543527
209	0.3738529888
210	0.3728446721
211	0.3715858673
212	0.370956154
213	0.3700298236
214	0.3694166704
215	0.3687992202
216	0.3676624272
217	0.3672677392
218	0.3664427577
219	0.3659808429
220	0.3653919805
221	0.3632518785
222	0.3629576886
223	0.3618865018
224	0.3601922914
225	0.3597371421
226	0.3579311109
227	0.3568681407
228	0.3562389516
229	0.3550285304
230	0.3537856202
231	0.3530616429
232	0.3528880963
233	0.3523257223
234	0.3517134135
235	0.3505138962
236	0.3494863888
237	0.3483066237
238	0.3477221023
239	0.347417329
240	0.3462205106
241	0.3448606139
242	0.3434272631
243	0.3424280888
244	0.3421513486
245	0.341015532
246	0.3400162231
247	0.3388266451
248	0.3373948675
249	0.3367488541
250	0.3361609591
251	0.3352230971
252	0.3349049402
253	0.3344384715
254	0.333016033
255	0.3325236285
256	0.3316794641
257	0.3312134067
258	0.3305389611
259	0.329690465
260	0.3288148446
261	0.3281832086
262	0.3276246636
263	0.3260101539
264	0.3244300633
265	0.3234724781
266	0.3226624738
267	0.321884289
268	0.3208120194
269	0.3201329883
270	0.3188247389
271	0.3185054195
272	0.3179265349
273	0.3174181433
274	0.3167615396
275	0.3154782494
276	0.3146897325
277	0.3140997693
278	0.3130410819
279	0.3124200963
280	0.3121469603
281	0.310944097
282	0.309522786
283	0.3083603309
284	0.3080566469
285	0.3076735993
286	0.3069222757
287	0.3063179317
288	0.3053681499
289	0.3045381535
290	0.304093213
291	0.3031225679
292	0.3022336525
293	0.3012749938
294	0.3006292953
295	0.299270798
296	0.2989256312
297	0.2985021903
298	0.2981779312
299	0.2979545742
300	0.2970536122
301	0.2962214744
302	0.2957075629
303	0.2953510619
304	0.2951259749
305	0.2948265167
306	0.2938659501
307	0.2930702723
308	0.2924196347
309	0.2922738928
310	0.2913049073
311	0.291159141
312	0.2904277638
313	0.2890509733
314	0.2883846041
315	0.2873265786
316	0.2867976459
317	0.2859656884
318	0.285786128
319	0.2848979893
320	0.2840257907
321	0.283673364
322	0.283177514
323	0.2827143999
324	0.2819995509
325	0.2808237186
326	0.2806057514
327	0.2803120457
328	0.2797602365
329	0.2783782829
330	0.277956391
331	0.2765685808
332	0.276089796
333	0.2749666119
334	0.2741937008
335	0.2737471467
336	0.2730092221
337	0.2726016333
338	0.2714869834
339	0.2711438652
340	0.2709719693
341	0.2698503984
342	0.2691457189
343	0.2680499499
344	0.266961944
345	0.2659530831
346	0.2656544765
347	0.2650974126
348	0.264338306
349	0.263821048
350	0.2629802655
351	0.2623568569
352	0.2612843325
353	0.2607751762
